indent,operation,dom,dom id,relation,cod id,cod,unchanged,changed_props,reason,rank
__,A ONLY (loss of resolution),N20.Haplorrhini,376913,<,798,G.Primates,,,G.Palaeopropithecidae is not in the A taxon,order
__,B ONLY,,,,4827103,G.Homunculidae,,,,family
____,B ONLY,,,,9583161,G.Canaanimico,,,,genus
______,B ONLY,,,,9273836,G.Canaanimico_amazonensis,,,,species
____,B ONLY,,,,8525032,G.Mazzonicebus,,,,genus
______,B ONLY,,,,8544889,G.Mazzonicebus_almendrae,,,,species
__,B ONLY,,,,9833205,G.BOLD:AAJ7304,,,,unranked
__,B ONLY,,,,10472243,G.BOLD:AAO0053,,,,unranked
__,B ONLY,,,,4827211,G.Pivetonia,,,,genus
__,B ONLY,,,,4827522,G.Ancepsoides,,,,genus
__,B ONLY,,,,7774818,G.Djebelemuridae,,,,family
__,B ONLY,,,,4974649,G.Megalapidae,,,,family
__,B ONLY,,,,3239628,G.Microchoeridae,,,,family
____,B ONLY,,,,9365908,G.?_isabenae,,,,unranked
____,B ONLY,,,,9401096,G.?_ulmensis,,,,unranked
____,B ONLY,,,,9558745,G.?_raabi,,,,unranked
____,B ONLY,,,,9250995,G.?_quaylei,,,,unranked
____,B ONLY,,,,4827077,G.Nannopithex,,,,genus
______,B ONLY,,,,9442932,G.Nannopithex_filholi,,,,species
______,B ONLY,,,,4974795,G.Nannopithex_zuccolae,,,,species
______,B ONLY,,,,9255094,G.Nannopithex_barnesi,,,,species
____,B ONLY,,,,3239629,G.Microchoerus,,,,genus
______,B ONLY,,,,9608906,G.Microchoerus_ornatus,,,,species
______,B ONLY,,,,5936394,G.Microchoerus_erinaceus,,,,species
______,B ONLY,,,,9297665,G.Microchoerus_hookeri,,,,species
____,B ONLY,,,,9584072,G.Vectipithex,,,,genus
______,B ONLY,,,,9369212,G.Vectipithex_smithorum,,,,species
______,B ONLY,,,,9471043,G.Necrolemur_raabi,,,,species
______,B ONLY,,,,4974794,G.Nannopithex_quaylei,,,,species
______,B ONLY,,,,9397749,G.Adapis_ulmensis,,,,species
____,B ONLY,,,,4827074,G.Necrolemur,,,,genus
______,B ONLY,,,,9563206,G.Necrolemur_anadoni,,,,species
______,B ONLY,,,,9396825,G.Necrolemur_antiquus,,,,species
____,B ONLY,,,,4827075,G.Pseudoloris,,,,genus
______,B ONLY,,,,8612402,G.Pseudoloris_pyrenaicus,,,,species
______,B ONLY,,,,8585520,G.Pseudoloris_erenensis,,,,species
______,B ONLY,,,,4974793,G.Pseudoloris_crusafonti,,,,species
______,B ONLY,,,,9609823,G.Pivetonia_isabenae,,,,species
______,B ONLY,,,,4974791,G.Pseudoloris_godinoti,,,,species
______,B ONLY,,,,8461894,G.Pseudoloris_cuestai,,,,species
______,B ONLY,,,,8636046,G.Pseudoloris_reguanti,,,,species
______,B ONLY,,,,4974792,G.Pseudoloris_parvulus,,,,species
____,B ONLY,,,,4974787,G.Melaneremia,,,,genus
______,B ONLY,,,,9700645,G.Melaneremia_schrevei,,,,species
______,B ONLY,,,,4974788,G.Melaneremia_bryanti,,,,species
__,B ONLY,,,,4827063,G.Victoriapithecidae,,,,family
____,B ONLY,,,,9963015,G.?_orientalis,,,,unranked
____,B ONLY,,,,4827067,G.Turkanapithecus,,,,genus
______,B ONLY,,,,4974726,G.Turkanapithecus_kalakolensis,,,,species
____,B ONLY,,,,4573668,G.Afropithecus,,,,genus
______,B ONLY,,,,4974711,G.Afropithecus_turkanensis,,,,species
____,B ONLY,,,,4827068,G.Wailekia,,,,genus
______,B ONLY,,,,4974636,G.Wailekia_orientale,,,,species
____,B ONLY,,,,4827065,G.Dionysopithecus,,,,genus
______,B ONLY,,,,9534129,G.Dendropithecus_orientalis,,,,species
______,B ONLY,,,,4974735,G.Dionysopithecus_shuangouensis,,,,species
____,B ONLY,,,,4827066,G.Otavipithecus,,,,genus
____,B ONLY,,,,8705178,G.Noropithecus,,,,genus
______,B ONLY,,,,8500117,G.Noropithecus_bulukensis,,,,species
____,B ONLY,,,,4827069,G.Siamopithecus,,,,genus
______,B ONLY,,,,4974768,G.Siamopithecus_eocaenus,,,,species
__,B ONLY,,,,3239541,G.Adapidae,,,,family
____,B ONLY,,,,9593314,G.?_gallica,,,,unranked
____,B ONLY,,,,10170425,G.?_leenhardti,,,,unranked
____,B ONLY,,,,9367834,G.?_crassicuspidens,,,,unranked
____,B ONLY,,,,10566571,G.?_brevirostris,,,,unranked
____,B ONLY,,,,9327036,G.?_magnus,,,,unranked
____,B ONLY,,,,9926871,G.?_curvicuspidens,,,,unranked
____,B ONLY,,,,9399144,G.?_nagrii,,,,unranked
____,B ONLY,,,,4827749,G.Arisella,,,,genus
____,B ONLY,,,,9486217,G.?_stevensi,,,,unranked
____,B ONLY,,,,9252881,G.?_quercyi,,,,unranked
____,B ONLY,,,,9560793,G.?_sciureus,,,,unranked
____,B ONLY,,,,4827748,G.Adapoides,,,,genus
______,B ONLY,,,,4974605,G.Adapoides_troglodytes,,,,species
____,B ONLY,,,,9472447,G.?_angustidens#9472447,,,,unranked
____,B ONLY,,,,9518289,G.?_roselli,,,,unranked
____,B ONLY,,,,10077254,G.?_himalayensis,,,,unranked
____,B ONLY,,,,4827755,G.Anchomomys,,,,genus
______,B ONLY,,,,4974570,G.Anchomomys_stehlini,,,,species
______,B ONLY,,,,4974572,G.Anchomomys_milleri,,,,species
______,B ONLY,,,,8476549,G.Anchomomys_frontanyensis,,,,species
______,B ONLY,,,,4974571,G.Anchomomys_gaillardi,,,,species
______,B ONLY,,,,4974573,G.Anchomomys_latidens,,,,species
____,B ONLY,,,,9296337,G.?_stehlini,,,,unranked
____,B ONLY,,,,9283221,G.?_collinsonae,,,,unranked
____,B ONLY,,,,4827762,G.Indraloris,,,,genus
______,B ONLY,,,,8789481,G.Sivanasua_himalayensis,,,,species
____,B ONLY,,,,9440651,G.?_palaeindica,,,,unranked
____,B ONLY,,,,8722697,G.Lantianus_xiehuensis,,,,species
____,B ONLY,,,,4827758,G.Sivaladapsis,,,,genus
____,B ONLY,,,,4974610,G.Magnadapis,,,,genus
______,B ONLY,,,,4974611,G.Magnadapis_quercyi,,,,species
______,B ONLY,,,,4974612,G.Magnadapis_fredi,,,,species
______,B ONLY,,,,4974613,G.Magnadapis_laurenceae,,,,species
______,B ONLY,,,,4974614,G.Magnadapis_intermedius,,,,species
____,B ONLY,,,,4827754,G.Donrussellia,,,,genus
______,B ONLY,,,,9381628,G.Teilhardina_gallica,,,,species
______,B ONLY,,,,4974778,G.Donrussellia_provincialis,,,,species
______,B ONLY,,,,4974779,G.Donrussellia_lusitanica,,,,species
____,B ONLY,,,,4827765,G.Leptadapis,,,,genus
______,B ONLY,,,,9585793,G.Adapis_magnus,,,,species
________,B ONLY,,,,10480942,G.Adapis_magnus_magnus,,,,subspecies
________,B ONLY,,,,9276267,G.Adapis_magnus_leenhardti,,,,subspecies
______,B ONLY,,,,4974608,G.Leptadapis_filholi,,,,species
____,B ONLY,,,,4827747,G.Microadapis,,,,genus
______,B ONLY,,,,9528345,G.Adapis_sciureus,,,,species
____,B ONLY,,,,4577575,G.Aframonius,,,,genus
______,B ONLY,,,,4974618,G.Aframonius_diedies,,,,species
____,B ONLY,,,,4827750,G.Azibius,,,,genus
______,B ONLY,,,,4974512,G.Azibius_trerki,,,,species
____,B ONLY,,,,4827745,G.Cercamonius,,,,genus
______,B ONLY,,,,8822136,G.Protadapis_brachyrhynchus,,,,species
____,B ONLY,,,,4827761,G.Panobius,,,,genus
______,B ONLY,,,,4974580,G.Panobius_amplior,,,,species
______,B ONLY,,,,4974582,G.Panobius_russelli,,,,species
______,B ONLY,,,,4974581,G.Panobius_afridi,,,,species
____,B ONLY,,,,4827766,G.Shizarodon,,,,genus
____,B ONLY,,,,4827756,G.Adapis,,,,genus
______,B ONLY,,,,8968398,G.Adapis_parisiensis#8968398,,,,species
______,B ONLY,,,,9319806,G.Adapis_sudrei,,,,species
______,B ONLY,,,,4974603,G.Adapis_parisiensis#4974603,,,,species
______,B ONLY,,,,9447978,G.Europolemur_collinsonae,,,,species
____,B ONLY,,,,4827746,G.Huerzeleris,,,,genus
______,B ONLY,,,,4974574,G.Anchomomys_quercyi,,,,species
____,B ONLY,,,,4827759,G.Djebelemur,,,,genus
______,B ONLY,,,,4974650,G.Djebelemur_martinezi,,,,species
____,B ONLY,,,,8666784,G.Nievesia,,,,genus
______,B ONLY,,,,8534198,G.Nievesia_sossisensis,,,,species
____,B ONLY,,,,4572152,G.Sinoadapis,,,,genus
______,B ONLY,,,,4974637,G.Sinoadapis_carnosus,,,,species
____,B ONLY,,,,4827760,G.Pronycticebus,,,,genus
______,B ONLY,,,,4974599,G.Pronycticebus_neglectus,,,,species
______,B ONLY,,,,4974600,G.Pronycticebus_gaudryi,,,,species
____,B ONLY,,,,8626133,G.Afradapis,,,,genus
______,B ONLY,,,,8572288,G.Afradapis_longicristatus,,,,species
____,B ONLY,,,,4827757,G.Omanodon,,,,genus
______,B ONLY,,,,8699234,G.Omanodon_minor,,,,species
____,B ONLY,,,,3239544,G.Mahgarita,,,,genus
______,B ONLY,,,,5936369,G.Margarita_stevensi,,,,species
____,B ONLY,,,,4827751,G.Caenopithecus,,,,genus
______,B ONLY,,,,8843721,G.Caenopithecus_lemuroides,,,,species
____,B ONLY,,,,4827763,G.Cryptadapis,,,,genus
____,B ONLY,,,,8613446,G.Mazateronodon,,,,genus
______,B ONLY,,,,8584548,G.Mazateronodon_endemicus,,,,species
____,B ONLY,,,,4827764,G.Protoadapis,,,,genus
______,B ONLY,,,,9364333,G.Plesiadapis_curvicuspidens,,,,species
______,B ONLY,,,,9557102,G.Adapis_angustidens,,,,species
______,B ONLY,,,,9154013,G.Protoadapis_recticuspidens,,,,species
____,B ONLY,,,,4827753,G.Sivaladapis,,,,genus
______,B ONLY,,,,9550630,G.Sivanasua_nagrii,,,,species
______,B ONLY,,,,9358075,G.Sivanasua_palaeindica,,,,species
____,B ONLY,,,,3239542,G.Agerinia,,,,genus
______,B ONLY,,,,9565748,G.Agerina_roselli,,,,species
______,B ONLY,,,,9272149,G.Agerinia_marandati,,,,species
______,B ONLY,,,,8916248,G.Agerinia_smithorum,,,,species
__,B ONLY,,,,4827474,G.Sivaladapidae,,,,family
____,B ONLY,,,,9482451,G.Siamoadapis,,,,genus
____,B ONLY,,,,4827476,G.Rencunius,,,,genus
______,B ONLY,,,,9265997,G.Rencunius_wui,,,,species
______,B ONLY,,,,4974634,G.Rencunius_zhoui,,,,species
____,B ONLY,,,,4827475,G.Guangxilemur,,,,genus
______,B ONLY,,,,4974639,G.Guangxilemur_singsilai,,,,species
______,B ONLY,,,,4974640,G.Guangxilemur_tongi,,,,species
__,B ONLY,,,,4827179,G.Oligopithecidae,,,,family
____,B ONLY,,,,4827181,G.Catopithecus,,,,genus
______,B ONLY,,,,4974678,G.Catopithecus_browni,,,,species
____,B ONLY,,,,4827180,G.Oligopithecus,,,,genus
______,B ONLY,,,,8680013,G.Oligopithecus_savagei,,,,species
______,B ONLY,,,,8522301,G.Oligopithecus_rogeri,,,,species
____,B ONLY,,,,4827182,G.Talahpithecus,,,,genus
______,B ONLY,,,,8490849,G.Talahpithecus_parvus,,,,species
__,B ONLY,,,,9574707,G.Archicebidae,,,,family
____,B ONLY,,,,8877228,G.Archicebus,,,,genus
______,B ONLY,,,,8928305,G.Archicebus_achilles,,,,species
__,B ONLY (increased resolution),N20.Daubentonia_madagascariensis,31869,>,9420,G.Daubentoniidae,,,cross-mrca <,family
____,B ONLY (increased resolution),N20.Daubentonia_madagascariensis,31869,>,2436633,G.Daubentonia,,,cross-mrca <,genus
__,B ONLY (reorganization),N20.Lemuriformes,376915,><,5485,G.Lemuridae,,,N20.Megaladapis is in the A taxon; B-sibling N20.Lepilemur is not,family
____,SHARED,N20.Varecia,9454,=,2436423,G.Varecia,,,cross-mrca =,genus
______,SHARED,N20.Varecia_rubra,554167,=,4266945,G.Varecia_rubra,tip,,canonicalName,species
______,B ONLY (increased resolution),N20.Varecia_variegata_variegata,87289,>,2436424,G.Varecia_variegata,,,cross-mrca <,species
________,B ONLY,,,,4266943,G.Varecia_variegata_subcincta,,,,subspecies
________,B ONLY,,,,4266944,G.Varecia_variegata_editorum,,,,subspecies
________,B ONLY,,,,10436417,G.BOLD:AAF0367,,,,unranked
____,SHARED,N20.Eulemur,13513,=,2436417,G.Eulemur#2436417,,number_of_children; scientificName,cross-mrca =,genus
______,SHARED,N20.Eulemur_coronatus,13514,=,2436422,G.Eulemur_coronatus,tip,,scientificName,species
______,SHARED,N20.Eulemur_fulvus,13515,=,9092265,G.Eulemur_fulvus,,number_of_children,canonicalName,species
________,A ONLY,N20.Eulemur_fulvus_mayottensis,27680,,,,,,,subspecies
________,A ONLY,N20.Eulemur_fulvus_fulvus,40322,,,,,,,subspecies
________,SHARED (moved from 13515),N20.Eulemur_fulvus_collaris,47178,=,9812996,G.Eulemur_collaris#9812996,tip,taxonRank; canonicalName,,species
________,A ONLY,N20.Eulemur_fulvus_albocollaris,122224,,,,,,,subspecies
________,B ONLY,,,,10398166,G.BOLD:AAD6263,,,,unranked
________,B ONLY,,,,5786408,G.Eulemur_fulvus_collaris,,,,subspecies
________,B ONLY,,,,5786415,G.Eulemur_fulvus_rufus,,,,subspecies
______,SHARED,N20.Eulemur_macaco,30602,=,2436420,G.Eulemur_macaco,,,scientificName,species
________,A ONLY,N20.Eulemur_macaco_macaco,30603,,,,,,,subspecies
________,B ONLY,,,,10643522,G.BOLD:AAF7419,,,,unranked
______,SHARED,N20.Eulemur_mongoz,34828,=,2436418,G.Eulemur_mongoz,,number_of_children,canonicalName,species
________,B ONLY,,,,9890511,G.BOLD:AAD6005,,,,unranked
______,SHARED,N20.Eulemur_rubriventer,34829,=,2436421,G.Eulemur_rubriventer,,number_of_children,canonicalName,species
________,B ONLY,,,,10003132,G.BOLD:ACS3112,,,,unranked
______,SHARED,N20.Eulemur_flavifrons,87288,=,7874997,G.Eulemur_flavifrons,tip,scientificName,canonicalName,species
______,SHARED,N20.Eulemur_sanfordi,122225,=,4266929,G.Eulemur_sanfordi,tip,scientificName,canonicalName,species
______,SHARED,N20.Eulemur_cinereiceps,639525,=,4266932,G.Eulemur_cinereiceps,tip,scientificName,canonicalName,species
______,SHARED,N20.Eulemur_rufus,859983,=,4266934,G.Eulemur_rufus,,number_of_children,scientificName,species
________,B ONLY,,,,10285063,G.BOLD:ADC7103,,,,unranked
______,SHARED,N20.Eulemur_rufifrons,859984,=,5786413,G.Eulemur_rufifrons,tip,,scientificName,species
______,SHARED,N20.Eulemur_albifrons,1215604,=,9131667,G.Eulemur_albifrons,tip,scientificName,canonicalName,species
______,A ONLY,N20.Eulemur_albifrons_x_rufifrons,1417231,,,,,,,species
______,A ONLY,N20.Eulemur_albifrons_x_cinereiceps,1417236,,,,,,,species
______,A ONLY,N20.Eulemur_cinereiceps_x_rufifrons,1417237,,,,,,,species
______,B ONLY,,,,9603983,G.Lemur_collaris,,,,species
____,SHARED,N20.Hapalemur,13556,=,2436413,G.Hapalemur,,number_of_children,cross-mrca =,genus
______,SHARED,N20.Hapalemur_griseus_meridionalis,185456,=,5786406,G.Hapalemur_meridionalis,tip,taxonRank; canonicalName,,species
______,A ONLY (loss of resolution),N20.Hapalemur_griseus,13557,<,2436413,G.Hapalemur,,,G.Hapalemur_aureus is not in the A taxon,genus
________,A ONLY,N20.Hapalemur_griseus_alaotrensis,122220,,,,,,,subspecies
________,A ONLY,N20.Hapalemur_griseus_occidentalis,122221,,,,,,,subspecies
________,A ONLY,N20.Hapalemur_griseus_JF2002,185596,,,,,,,
______,SHARED,N20.Hapalemur_aureus,122222,=,2436415,G.Hapalemur_aureus,tip,scientificName,canonicalName,species
______,SHARED,N20.Hapalemur_occidentalis,867377,=,4266942,G.Hapalemur_occidentalis,tip,,scientificName,species
______,B ONLY,,,,4266941,G.Hapalemur_alaotrensis,,,,species
______,B ONLY (increased resolution),N20.Hapalemur_griseus_griseus,122219,>,2436414,G.Hapalemur_griseus,,,cross-mrca <,species
________,SHARED (moved from 13557),N20.Hapalemur_griseus_griseus,122219,=,7261995,G.Hapalemur_griseus_griseus,tip,,canonicalName,subspecies
________,B ONLY,,,,8942897,G.Hapalemur_griseus_ranomafanensis,,,,subspecies
________,B ONLY,,,,10041075,G.BOLD:ADC8376,,,,unranked
________,B ONLY,,,,5786407,G.Hapalemur_griseus_gilberti,,,,subspecies
____,SHARED,N20.Pachylemur,1513474,=,5428934,G.Pachylemur#5428934,,taxonomicStatus; number_of_children,canonicalName,genus
______,A ONLY,N20.Pachylemur_jullyi,1513475,,,,,,,species
____,A ONLY (loss of resolution),N20.Lemuridae,9445,<,5485,G.Lemuridae,,,G.Megaladapis is not in the A taxon,family
____,B ONLY,,,,9381832,G.?_albocollaris,,,,unranked
____,B ONLY,,,,9385080,G.?_collaris,,,,unranked
____,B ONLY,,,,9266446,G.?_variegatus,,,,unranked
____,B ONLY,,,,10523474,G.?_coronatus,,,,unranked
____,B ONLY,,,,3239590,G.Bradylemur#3239590,,,,genus
____,B ONLY (increased resolution),N20.Megaladapis_edwardsi,185953,>,4827197,G.Megaladapis,,,cross-mrca <,genus
____,B ONLY (increased resolution),N20.Prolemur_simus,1328070,>,4266937,G.Prolemur,,,cross-mrca <,genus
____,B ONLY,,,,7237035,G.Pachylemur#7237035,,,,genus
____,B ONLY (increased resolution),N20.Lemur_catta,9447,>,2436411,G.Lemur,,,cross-mrca <,genus
______,B ONLY,,,,9777222,G.Lemur_spec,,,,species
______,B ONLY,,,,8799496,G.Lemur_lecomystax,,,,species
______,B ONLY,,,,10277009,G.Catta_mococo,,,,species
__,B ONLY (reorganization),N20.Platyrrhini,9479,><,3239607,G.Atelidae,,,N20.Xenothricinae is in the A taxon; B-sibling N20.Callicebinae is not,family
____,SHARED,N20.Ateles,9506,=,2436640,G.Ateles,,number_of_children; scientificName,cross-mrca =,genus
______,SHARED,N20.Ateles_belzebuth,9507,=,2436642,G.Ateles_belzebuth,,number_of_children; scientificName,canonicalName,species
________,SHARED (moved from 9507),N20.Ateles_belzebuth_chamek,118643,=,2436646,G.Ateles_chamek,tip,taxonRank; canonicalName,,species
________,A ONLY,N20.Ateles_belzebuth_marginatus,118644,,,,,,,subspecies
________,B ONLY,,,,5786081,G.Ateles_belzebuth_hybridus,,,,subspecies
________,B ONLY,,,,5786078,G.Ateles_belzebuth_brunneus,,,,subspecies
________,B ONLY,,,,5786076,G.Ateles_belzebuth_belzebuth,,,,subspecies
________,B ONLY,,,,10645901,G.BOLD:AAJ9521,,,,unranked
______,SHARED,N20.Ateles_geoffroyi,9509,=,2436643,G.Ateles_geoffroyi,,number_of_children,cross-mrca =,species
________,A ONLY,N20.Ateles_geoffroyi_panamensis,118647,,,,,,,subspecies
________,SHARED,N20.Ateles_geoffroyi_vellerosus,118648,=,4267246,G.Ateles_geoffroyi_vellerosus,tip,,canonicalName,subspecies
________,A ONLY,N20.Ateles_geoffroyi_yucatanensis,118649,,,,,,,subspecies
________,SHARED,N20.Ateles_geoffroyi_frontatus,795835,=,5786074,G.Ateles_geoffroyi_frontatus,tip,,scientificName,subspecies
________,SHARED,N20.Ateles_geoffroyi_ornatus,1214775,=,4267250,G.Ateles_geoffroyi_ornatus,tip,scientificName,canonicalName,subspecies
________,SHARED,N20.Ateles_geoffroyi_azuerensis,1497547,=,5786075,G.Ateles_geoffroyi_azuerensis,tip,scientificName,canonicalName,subspecies
________,B ONLY,,,,10038657,G.BOLD:AAE0136,,,,unranked
________,B ONLY,,,,4267248,G.Ateles_geoffroyi_grisescens,,,,subspecies
________,B ONLY,,,,4267245,G.Ateles_geoffroyi_geoffroyi,,,,subspecies
______,SHARED,N20.Ateles_paniscus,9510,=,2436645,G.Ateles_paniscus,,number_of_children,canonicalName,species
________,B ONLY,,,,9138807,G.Ateles_paniscus_chamek,,,,subspecies
________,B ONLY,,,,10249377,G.BOLD:AAJ9510,,,,unranked
________,B ONLY,,,,9079657,G.Ateles_paniscus_paniscus,,,,subspecies
______,A ONLY,N20.Ateles_paniscus_x_Ateles_fusciceps,36234,,,,,,,species
______,A ONLY,N20.unclassified_Ateles,120432,,,,,,,
________,A ONLY,N20.Ateles_sp.,9511,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Abh9,119628,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Abh10,119629,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Abh11,119630,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Agsubspp._16,119631,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Afr19,119632,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Afr20,119633,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Afr21,119634,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Abh19,119638,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Agp13,119639,,,,,,,species
________,A ONLY,N20.Ateles_sp._haplotype_Afr27,119640,,,,,,,species
________,A ONLY,N20.Ateles_sp._KO-2004,269772,,,,,,,species
________,A ONLY,N20.Ateles_sp._JPV-2004,278713,,,,,,,species
________,A ONLY,N20.Ateles_sp._EG-2017,1967450,,,,,,,species
______,SHARED,N20.Ateles_hybridus,129801,=,4267251,G.Ateles_hybridus,,number_of_children; scientificName,canonicalName,species
________,A ONLY,N20.Ateles_hybridus_hybridus,1230481,,,,,,,subspecies
______,SHARED,N20.Ateles_marginatus,1529884,=,2436644,G.Ateles_marginatus,tip,scientificName,canonicalName,species
______,B ONLY (increased resolution),N20.Ateles_fusciceps_robustus,183327,>,2436641,G.Ateles_fusciceps,,,cross-mrca <,species
________,B ONLY,,,,4267244,G.Ateles_fusciceps_fusciceps,,,,subspecies
______,B ONLY,,,,8486671,G.Ateles_rufiventris,,,,species
______,B ONLY,,,,9213729,G.Ateles_grisescens,,,,species
____,SHARED,N20.Lagothrix,9518,=,2436656,G.Lagothrix,,number_of_children; scientificName,cross-mrca =,genus
______,A ONLY,N20.Lagothrix_lagotricha,9519,,,,,,,species
______,A ONLY,N20.Lagothrix_cana,767357,,,,,,,species
______,SHARED,N20.Lagothrix_flavicauda,2565305,=,2436657,G.Lagothrix_flavicauda,tip,,scientificName,species
______,A ONLY,N20.Lagothrix_tschudii,2565306,,,,,,,species
______,A ONLY,N20.unclassified_Lagothrix,2645779,,,,,,,
________,A ONLY,N20.Lagothrix_sp._CCS-2009a,638937,,,,,,,species
________,A ONLY,N20.Lagothrix_sp._EG-2017,1967456,,,,,,,species
______,B ONLY (increased resolution),N20.Lagothrix,9518,>,5786085,G.Lagothrix_lagothricha,,,N20.Lagothrix_flavicauda is not in the A taxon,species
________,SHARED (moved from 9518),N20.Lagothrix_lugens,767355,=,5786084,G.Lagothrix_lagothricha_lugens,tip,taxonRank; canonicalName; scientificName,,subspecies
________,SHARED (moved from 9518),N20.Lagothrix_poeppigii,767356,=,5786087,G.Lagothrix_lagothricha_poeppigii,tip,taxonRank; canonicalName; scientificName,,subspecies
________,B ONLY,,,,10189258,G.BOLD:ADR8873,,,,unranked
________,B ONLY,,,,9213198,G.Lagothrix_lagothricha_tschudii,,,,subspecies
________,B ONLY,,,,10494280,G.BOLD:AAF2998,,,,unranked
________,B ONLY,,,,8756566,G.Lagothrix_lagothricha_lagothricha,,,,subspecies
________,B ONLY,,,,5786086,G.Lagothrix_lagothricha_cana,,,,subspecies
____,SHARED,N20.Brachyteles,30593,=,2436665,G.Brachyteles,,,cross-mrca =,genus
______,SHARED,N20.Brachyteles_arachnoides,30594,=,2436666,G.Brachyteles_arachnoides,,number_of_children,canonicalName,species
________,B ONLY,,,,10005535,G.BOLD:ACI0827,,,,unranked
______,SHARED,N20.Brachyteles_hypoxanthus,342807,=,4267243,G.Brachyteles_hypoxanthus,tip,,canonicalName,species
____,A ONLY (loss of resolution),N20.Atelinae,38068,<,3239607,G.Atelidae,,,G.Alouatta is not in the A taxon,family
____,A ONLY (loss of resolution),N20.Atelidae,378855,<,3239607,G.Atelidae,,,G.Xenothrix is not in the A taxon,family
____,B ONLY,,,,9430098,G.?_caraya,,,,unranked
____,B ONLY,,,,10220723,G.?_grandis,,,,unranked
____,B ONLY,,,,9625519,G.?_cana,,,,unranked
____,B ONLY,,,,9313127,G.?_blakei,,,,unranked
____,B ONLY (increased resolution),N20.Xenothrix_mcgregori,2490931,>,4827326,G.Xenothrix,,,cross-mrca <,genus
____,B ONLY,,,,4827320,G.Soriacebus,,,,genus
______,B ONLY,,,,8450806,G.Soriacebus_ameghinorum,,,,species
______,B ONLY,,,,8655169,G.Soriacebus_adrianae,,,,species
____,B ONLY,,,,9454777,G.?_lagothricha,,,,unranked
____,B ONLY,,,,9337403,G.?_harringtoni,,,,unranked
____,B ONLY,,,,4827323,G.Laventiana,,,,genus
____,B ONLY,,,,4827303,G.Tremacebus,,,,genus
______,B ONLY,,,,9214747,G.Homunculus_harringtoni,,,,species
____,B ONLY,,,,4827305,G.Caipora,,,,genus
____,B ONLY,,,,4827314,G.Paralouatta,,,,genus
______,B ONLY,,,,4974677,G.Paralouatta_marianae,,,,species
____,B ONLY,,,,4827333,G.Mohanamico,,,,genus
______,B ONLY,,,,9415809,G.Mohanamico_hershkovitzi,,,,species
____,B ONLY,,,,3239898,G.Macdonaldius,,,,genus
____,B ONLY,,,,4827319,G.Antillothrix,,,,genus
____,B ONLY,,,,4827318,G.Chilecebus,,,,genus
______,B ONLY,,,,8708230,G.Chilecebus_carrascoensis,,,,species
____,B ONLY,,,,4827306,G.Homunculus,,,,genus
______,B ONLY,,,,8554686,G.Homunculus_patagonicus,,,,species
______,B ONLY,,,,8842238,G.Homunculus_ameghino,,,,species
____,B ONLY,,,,4827304,G.Cebupithecia,,,,genus
______,B ONLY,,,,8444301,G.Cebupithecia_sarmientoi,,,,species
____,B ONLY,,,,8458804,G.Solimoea,,,,genus
______,B ONLY,,,,8664531,G.Solimoea_acrensis,,,,species
____,B ONLY,,,,4827418,G.Miocallicebus,,,,genus
______,B ONLY,,,,8489265,G.Miocallicebus_villaviejai,,,,species
____,B ONLY,,,,4267226,G.Oreonax,,,,genus
____,B ONLY,,,,3239609,G.Stirtonia#3239609,,,,genus
______,B ONLY,,,,8584878,G.Stirtonia_victoriae,,,,species
______,B ONLY,,,,9608062,G.Stirtonia_tatacoensis,,,,species
____,B ONLY,,,,3239610,G.Protopithecus#3239610,,,,genus
______,B ONLY,,,,5936371,G.Protopithecus_bonaeriensis,,,,species
______,B ONLY,,,,5936370,G.Protopithecus_brasiliensis,,,,species
____,B ONLY,,,,8345118,G.Stirtonia#8345118,,,,genus
__,B ONLY,,,,3239626,G.Lasiopygidae,,,,family
____,B ONLY,,,,3239627,G.Anthropodus#3239627,,,,genus
______,B ONLY,,,,9176080,G.Anthropodus_brancoi,,,,species
__,B ONLY,,,,4827523,G.Picromomyidae,,,,family
____,B ONLY,,,,4827524,G.Alveojunctus,,,,genus
______,B ONLY,,,,9302395,G.Alveojunctus_bowni,,,,species
______,B ONLY,,,,4974443,G.Alveojunctus_minutus,,,,species
____,B ONLY,,,,4827525,G.Picromomys,,,,genus
______,B ONLY,,,,4974458,G.Picromomys_petersonorum,,,,species
__,B ONLY,,,,3239536,G.Palaeopropithicidae,,,,family
____,B ONLY,,,,3239537,G.Palaeopithecus#3239537,,,,genus
____,B ONLY,,,,4827742,G.Babakoita,,,,genus
__,B ONLY,,,,9424,G.Loridae,,,,family
__,B ONLY (increased resolution),N20.Lepilemur,9452,>,4266927,G.Lepilemuridae,,,cross-mrca <,family
____,SHARED (moved from 30614),N20.Lepilemur,9452,=,2436489,G.Lepilemur,,number_of_children,cross-mrca =,genus
